-0.36401,0.31022,-0.050431
-0.36402,0.31021,-0.050392
-0.36402,0.31021,-0.050367
-0.36403,0.31019,-0.050309
-0.36404,0.31018,-0.050289
-0.36404,0.31017,-0.050312
-0.36406,0.31016,-0.050322
-0.36408,0.31014,-0.050275
-0.36411,0.31013,-0.050208
-0.36413,0.31011,-0.050131
-0.36417,0.31009,-0.050035
-0.3642,0.31008,-0.049975
-0.36423,0.31007,-0.049931
-0.36425,0.31007,-0.049885
-0.36427,0.31006,-0.049856
-0.36429,0.31005,-0.049816
-0.36431,0.31005,-0.049739
-0.36433,0.31004,-0.04968
-0.36433,0.31004,-0.04968
-0.36435,0.31004,-0.049589
-0.36438,0.31003,-0.049571
-0.3644,0.31003,-0.049581
-0.36441,0.31003,-0.049602
-0.36444,0.31002,-0.049636
-0.36445,0.31001,-0.049643
-0.36446,0.31001,-0.049653
-0.36448,0.31,-0.049646
-0.36451,0.30998,-0.049697
-0.36451,0.30998,-0.049745
-0.36454,0.30996,-0.049784
-0.36455,0.30996,-0.049863
-0.36456,0.30996,-0.049904
-0.36456,0.30996,-0.049949
-0.36456,0.30995,-0.049994
-0.36457,0.30994,-0.050023
-0.36458,0.30994,-0.050022
-0.36459,0.30993,-0.049984
-0.3646,0.30993,-0.049963
-0.36461,0.30992,-0.049903
-0.36462,0.30992,-0.049859
-0.36463,0.30991,-0.049832
-0.36463,0.30991,-0.049783
-0.36463,0.30991,-0.049724
-0.36464,0.30991,-0.049668
-0.36464,0.30991,-0.049585
-0.36464,0.3099,-0.049506
-0.36464,0.3099,-0.049462
-0.36464,0.3099,-0.049361
-0.36464,0.3099,-0.049202
-0.36464,0.30991,-0.049087
-0.36463,0.30991,-0.048955
-0.36463,0.30991,-0.048816
-0.36463,0.30991,-0.048739
-0.36463,0.30991,-0.048624
-0.36462,0.30991,-0.048505
-0.36461,0.30991,-0.048372
-0.3646,0.30992,-0.048149
-0.36459,0.30992,-0.047955
-0.36458,0.30993,-0.047757
-0.36456,0.30993,-0.047575
-0.36455,0.30994,-0.047411
-0.36453,0.30994,-0.047208
-0.36451,0.30995,-0.046989
-0.36448,0.30996,-0.046785
-0.36445,0.30997,-0.046522
-0.36442,0.30998,-0.046407
-0.36439,0.30999,-0.046141
-0.36436,0.31001,-0.045934
-0.36433,0.31002,-0.045692
-0.36432,0.31004,-0.045536
-0.3643,0.31005,-0.045387
-0.36427,0.31008,-0.045182
-0.36424,0.31011,-0.045008
-0.3642,0.31014,-0.044808
-0.36416,0.31018,-0.044643
-0.36412,0.31023,-0.044443
-0.36408,0.31027,-0.044281
-0.36403,0.3103,-0.044067
-0.364,0.31031,-0.043892
-0.36396,0.31033,-0.043715
-0.3639,0.31038,-0.043568
-0.36385,0.31042,-0.04343
-0.36379,0.31048,-0.043291
-0.36375,0.3105,-0.043138
-0.36372,0.31052,-0.042972
-0.36367,0.31055,-0.042828
-0.36362,0.3106,-0.042689
-0.36359,0.31066,-0.042619
-0.36354,0.31073,-0.042582
-0.3635,0.31077,-0.042581
-0.36346,0.31079,-0.042576
-0.36342,0.3108,-0.042597
-0.36337,0.31081,-0.042588
-0.36333,0.31084,-0.042531
-0.36328,0.31089,-0.042509
-0.36324,0.31094,-0.042527
-0.36321,0.31098,-0.042516
-0.36317,0.31103,-0.042519
-0.36313,0.31108,-0.042501
-0.36305,0.31114,-0.042495
-0.36301,0.31118,-0.042495
-0.36297,0.31124,-0.042466
-0.36294,0.31126,-0.042415
-0.36291,0.31126,-0.042337
-0.36288,0.31126,-0.042266
-0.36283,0.31128,-0.042194
-0.36279,0.31132,-0.042105
